Title,Author,Release Date,Ending Date,Genre
Dragon Ball,Akira Toriyama,1986-02-26,1989-04-19,Action Adventure Martial Arts Shounen
Dragon Ball Z,Akira Toriyama,1989-04-26,1996-01-31,Action Adventure Fantasy Shounen
Naruto,Masashi Kishimoto,2002-10-03,2007-02-08,Action Adventure Ninja Shounen
Naruto Shippuden,Masashi Kishimoto,2007-02-15,2017-03-23,Action Adventure Drama Shounen
Bleach,Tite Kubo,2004-10-05,2012-03-27,Action Supernatural Adventure Shounen
One Piece,Eiichiro Oda,1999-10-20,N/A,Adventure Fantasy Action Shounen
Blue Lock,Muneyuki Kaneshiro,2022-10-09,N/A,Sports Psychological Drama Shounen
Attack on Titan,Hajime Isayama,2013-04-07,2023-11-04,Action Dark Fantasy Drama
Death Note,Tsugumi Ohba,2006-10-04,2007-06-27,Psychological Thriller Supernatural
Demon Slayer,Koyoharu Gotouge,2019-04-06,N/A,Action Fantasy Historical
Jujutsu Kaisen,Gege Akutami,2020-10-03,N/A,Action Supernatural Dark Fantasy
My Hero Academia,Kohei Horikoshi,2016-04-03,N/A,Action Superhero School Shounen
Fullmetal Alchemist Brotherhood,Hiromu Arakawa,2009-04-05,2010-07-04,Action Adventure Fantasy
Tokyo Revengers,Ken Wakui,2021-04-11,N/A,Action Drama Time Travel
Horimiya,HERO,2021-01-10,2021-04-04,Romance Comedy Slice of Life
Your Lie in April,Naoshi Arakawa,2014-10-10,2015-03-20,Romance Drama Music
Toradora,Yuyuko Tokemiya,2008-10-02,2009-03-26,Romance Comedy School
Kaguya-sama Love Is War,Aka Akasaka,2019-01-12,N/A,Romance Comedy Psychological
Clannad,Key Jun Maeda,2007-10-04,2008-03-27,Romance Drama Slice of Life
Fruits Basket,Natsuki Takaya,2019-04-06,2021-06-29,Romance Drama Supernatural
